Architecture    Offer                                 Publisher    Sku                    Urn                                                                                 Version
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202304260              20.04.202304260
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202305150              20.04.202305150
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202306180              20.04.202306180
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202306190              20.04.202306190
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202307010              20.04.202307010
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202307140              20.04.202307140
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202307240              20.04.202307240
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202308110              20.04.202308110
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202308310              20.04.202308310
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202310250              20.04.202310250
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202310310              20.04.202310310
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202311280              20.04.202311280
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202311290              20.04.202311290
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202312080              20.04.202312080
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202401291              20.04.202401291
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202402050              20.04.202402050
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202402260              20.04.202402260
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202402280              20.04.202402280
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202402290              20.04.202402290
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202403072              20.04.202403072
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202403190              20.04.202403190
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202404080              20.04.202404080
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202404270              20.04.202404270
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202405090              20.04.202405090
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202405130              20.04.202405130
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202406060              20.04.202406060
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202406140              20.04.202406140
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202406260              20.04.202406260
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202407010              20.04.202407010
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202407040              20.04.202407040
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202407150              20.04.202407150
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202407310              20.04.202407310
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202408090              20.04.202408090
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202408210              20.04.202408210
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202408300              20.04.202408300
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202409170              20.04.202409170
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202410020              20.04.202410020
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202410160              20.04.202410160
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202207130  20.04.202207130
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202407300  20.04.202407300
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202407310  20.04.202407310
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202408010  20.04.202408010
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202408050  20.04.202408050
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202408080  20.04.202408080
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202408090  20.04.202408090
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202408140  20.04.202408140
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202408210  20.04.202408210
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202408220  20.04.202408220
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202408260  20.04.202408260
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202409040  20.04.202409040
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202409050  20.04.202409050
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202409100  20.04.202409100
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202409110  20.04.202409110
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202409120  20.04.202409120
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202409160  20.04.202409160
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202409170  20.04.202409170
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202409180  20.04.202409180
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202410020  20.04.202410020
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202410120  20.04.202410120
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202410150  20.04.202410150
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202410160  20.04.202410160
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202410220  20.04.202410220
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202410230  20.04.202410230
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202410290  20.04.202410290
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202410300  20.04.202410300
Arm64           0001-com-ubuntu-server-focal-daily    Canonical    20_04-daily-lts-arm64  Canonical:0001-com-ubuntu-server-focal-daily:20_04-daily-lts-arm64:20.04.202410310  20.04.202410310
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202206220              22.04.202206220
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202207060              22.04.202207060
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202207121              22.04.202207121
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202208100              22.04.202208100
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202209080              22.04.202209080
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202209211              22.04.202209211
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202210110              22.04.202210110
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202210140              22.04.202210140
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202210180              22.04.202210180
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202211011              22.04.202211011
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202211160              22.04.202211160
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202212010              22.04.202212010
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202212070              22.04.202212070
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202212140              22.04.202212140
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202301050              22.04.202301050
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202301100              22.04.202301100
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202301140              22.04.202301140
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202302080              22.04.202302080
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202302140              22.04.202302140
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202302280              22.04.202302280
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202303090              22.04.202303090
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202303290              22.04.202303290
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202304200              22.04.202304200
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202304280              22.04.202304280
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202305160              22.04.202305160
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202306010              22.04.202306010
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202306160              22.04.202306160
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202306200              22.04.202306200
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202307010              22.04.202307010
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202307250              22.04.202307250
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202308140              22.04.202308140
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202309080              22.04.202309080
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202309190              22.04.202309190
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202310040              22.04.202310040
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202310210              22.04.202310210
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202310251              22.04.202310251
Arm64           0001-com-ubuntu-server-jammy          Canonical    22_04-lts-arm64        Canonical:0001-com-ubuntu-server-jammy:22_04-lts-arm64:22.04.202310260              22.04.202310260
